date,country,alpha,policy_rate,r_equity,eff_rate,rate_gap,inflation,cpi
2013-02-01,Australia_broad,0.4329,3.0,1.8578,2.5056,-0.4944,65.6308,2.4651
2013-03-01,Australia_broad,0.4342,3.0,1.9216,2.5317,-0.4683,79.9687,2.4278
2013-04-01,Australia_broad,0.4356,3.0,1.9713,2.5519,-0.4481,97.6096,2.3904
2013-05-01,Australia_broad,0.4371,2.8043,2.1436,2.5155,-0.2889,56.9389,2.314
2013-06-01,Australia_broad,0.4387,2.75,2.3729,2.5846,-0.1654,28.6515,2.2375
2013-07-01,Australia_broad,0.4404,2.75,2.6156,2.6908,-0.0592,7.8389,2.1611
2013-08-01,Australia_broad,0.442,2.5455,2.7982,2.6572,0.1117,13.7607,2.3558
2013-09-01,Australia_broad,0.4437,2.5,2.915,2.6841,0.1841,19.3124,2.5504
2013-10-01,Australia_broad,0.4452,2.5,2.9775,2.7126,0.2126,24.5276,2.7451
2013-11-01,Australia_broad,0.4465,2.5,3.1493,2.7899,0.2899,21.8274,2.8066
2013-12-01,Australia_broad,0.4477,2.5,3.3166,2.8656,0.3656,19.3505,2.8682
2011-01-01,Australia_narrow,0.2065,4.75,1.8928,4.1599,-0.5901,11.5585,3.2563
2011-02-01,Australia_narrow,0.2057,4.75,1.7459,4.1321,-0.6179,12.302,3.3539
2011-03-01,Australia_narrow,0.2049,4.75,1.543,4.0928,-0.6572,13.0125,3.4515
2011-04-01,Australia_narrow,0.2042,4.75,1.3702,4.0598,-0.6902,13.6923,3.5491
2011-05-01,Australia_narrow,0.2035,4.75,1.379,4.0639,-0.6861,15.3049,3.5059
2011-06-01,Australia_narrow,0.2029,4.75,1.4218,4.0745,-0.6755,17.0058,3.4628
2011-07-01,Australia_narrow,0.2024,4.75,1.5339,4.099,-0.651,18.8025,3.4197
2011-08-01,Australia_narrow,0.2019,4.75,1.5125,4.0962,-0.6538,15.481,3.2774
2011-09-01,Australia_narrow,0.2016,4.75,1.4438,4.0836,-0.6664,12.0635,3.1351
2011-10-01,Australia_narrow,0.2012,4.75,1.3913,4.0742,-0.6758,8.5457,2.9928
2011-11-01,Australia_narrow,0.2008,4.5114,1.2943,3.8653,-0.6461,-13.1963,2.5377
2011-12-01,Australia_narrow,0.2005,4.3,1.178,3.6742,-0.6258,-32.5968,2.0827
2012-01-01,Australia_narrow,0.2,4.25,1.148,3.6296,-0.6204,-50.0148,1.6277
2012-02-01,Australia_narrow,0.1995,4.25,1.1237,3.6264,-0.6236,-55.6235,1.4883
2012-03-01,Australia_narrow,0.1989,4.25,1.1356,3.6306,-0.6194,-60.915,1.349
2012-04-01,Australia_narrow,0.1983,4.25,1.1701,3.6393,-0.6107,-65.9156,1.2097
2012-05-01,Australia_narrow,0.1976,3.7717,1.1096,3.2457,-0.526,-57.9441,1.4745
2012-06-01,Australia_narrow,0.1969,3.5375,1.0858,3.0549,-0.4826,-49.774,1.7392
2012-07-01,Australia_narrow,0.1961,3.5,1.0212,3.014,-0.486,-41.3979,2.004
2012-08-01,Australia_narrow,0.1952,3.5,1.111,3.0336,-0.4664,-36.8152,2.0708
2012-09-01,Australia_narrow,0.1944,3.5,1.2845,3.0692,-0.4308,-31.8165,2.1376
2012-10-01,Australia_narrow,0.1936,3.2717,1.4476,2.9185,-0.3532,-26.3423,2.2044
2012-11-01,Australia_narrow,0.1928,3.25,1.5576,2.9236,-0.3264,-9.2195,2.3038
2012-12-01,Australia_narrow,0.1921,3.0263,1.6814,2.768,-0.2583,15.3854,2.4031
2013-01-01,Australia_narrow,0.1913,3.0,1.7745,2.7656,-0.2344,53.7475,2.5025
2013-02-01,Australia_narrow,0.1905,3.0,1.8578,2.7824,-0.2176,65.6308,2.4651
2013-03-01,Australia_narrow,0.1899,3.0,1.9216,2.7952,-0.2048,79.9687,2.4278
2013-04-01,Australia_narrow,0.1894,3.0,1.9713,2.8052,-0.1948,97.6096,2.3904
2013-05-01,Australia_narrow,0.189,2.8043,2.1436,2.6795,-0.1249,56.9389,2.314
2013-06-01,Australia_narrow,0.1886,2.75,2.3729,2.6789,-0.0711,28.6515,2.2375
2013-07-01,Australia_narrow,0.1884,2.75,2.6156,2.7247,-0.0253,7.8389,2.1611
2013-08-01,Australia_narrow,0.1882,2.5455,2.7982,2.593,0.0476,13.7607,2.3558
2013-09-01,Australia_narrow,0.1881,2.5,2.915,2.5781,0.0781,19.3124,2.5504
2013-10-01,Australia_narrow,0.1881,2.5,2.9775,2.5898,0.0898,24.5276,2.7451
2013-11-01,Australia_narrow,0.188,2.5,3.1493,2.6221,0.1221,21.8274,2.8066
2013-12-01,Australia_narrow,0.188,2.5,3.3166,2.6535,0.1535,19.3505,2.8682
2014-01-01,Australia_narrow,0.1879,2.5,3.4479,2.6781,0.1781,17.0704,2.9297
2014-02-01,Australia_narrow,0.1879,2.5,3.5392,2.6953,0.1953,20.0055,2.9583
2014-03-01,Australia_narrow,0.1879,2.5,3.6797,2.7217,0.2217,23.031,2.9869
2014-04-01,Australia_narrow,0.188,2.5,3.7564,2.7362,0.2362,26.1511,3.0156
2014-05-01,Australia_narrow,0.1881,2.5,3.7454,2.7342,0.2342,20.1217,2.7796
2014-06-01,Australia_narrow,0.1882,2.5,3.7495,2.7352,0.2352,13.6803,2.5436
2014-07-01,Australia_narrow,0.1884,2.5,3.7312,2.7319,0.2319,6.7832,2.3077
2014-08-01,Australia_narrow,0.1886,2.5,3.7847,2.7422,0.2422,-10.3909,2.111
2014-09-01,Australia_narrow,0.1888,2.5,3.8486,2.7546,0.2546,-24.9434,1.9143
2014-10-01,Australia_narrow,0.189,2.5,3.87,2.7589,0.2589,-37.4319,1.7176
2014-11-01,Australia_narrow,0.1892,2.5,4.013,2.7862,0.2862,-43.4269,1.5878
2014-12-01,Australia_narrow,0.1894,2.5,4.1604,2.8144,0.3144,-49.1648,1.458
2015-01-01,Australia_narrow,0.1896,2.5,4.39,2.8583,0.3583,-54.6616,1.3283
2015-02-01,Australia_narrow,0.1898,2.275,4.6922,2.7337,0.4587,-53.043,1.3891
2015-03-01,Australia_narrow,0.19,2.25,4.9652,2.7658,0.5158,-51.4554,1.45
2015-04-01,Australia_narrow,0.1901,2.25,5.2457,2.8196,0.5696,-49.898,1.5109
2015-05-01,Australia_narrow,0.1903,2.0357,5.5297,2.7007,0.665,-45.73,1.5085
2015-06-01,Australia_narrow,0.1905,2.0,5.8372,2.731,0.731,-40.7888,1.5061
2015-07-01,Australia_narrow,0.1907,2.0,6.2196,2.8045,0.8045,-34.8371,1.5038
2015-08-01,Australia_narrow,0.1908,2.0,6.4923,2.8572,0.8572,-25.8469,1.5654
2015-09-01,Australia_narrow,0.1909,2.0,6.7831,2.9132,0.9132,-15.009,1.627
2015-10-01,Australia_narrow,0.1911,2.0,7.4758,3.0462,1.0462,-1.6886,1.6886
2015-11-01,Australia_narrow,0.1912,2.0,8.1606,3.1778,1.1778,-1.5832,1.5627
2015-12-01,Australia_narrow,0.1913,2.0,8.827,3.3061,1.3061,-1.4592,1.4368
2016-01-01,Australia_narrow,0.1914,2.0,9.3379,3.4046,1.4046,-1.3109,1.3109
2016-02-01,Australia_narrow,0.1915,2.0,9.8869,3.5101,1.5101,-12.536,1.215
2016-03-01,Australia_narrow,0.1915,2.0,10.5592,3.639,1.639,-22.8189,1.1191
2016-04-01,Australia_narrow,0.1915,2.0,11.1447,3.7509,1.7509,-32.2732,1.0233
2016-05-01,Australia_narrow,0.1914,1.7727,11.653,3.6638,1.8911,-26.1336,1.1143
2016-06-01,Australia_narrow,0.1913,1.75,12.0866,3.7273,1.9773,-19.9746,1.2053
2016-07-01,Australia_narrow,0.1911,1.75,12.4605,3.7973,2.0473,-13.7963,1.2963
2016-08-01,Australia_narrow,0.191,1.5217,12.8095,3.6772,2.1555,-13.3615,1.3562
2016-09-01,Australia_narrow,0.1908,1.5,13.0978,3.7123,2.2123,-12.9596,1.4161
2016-10-01,Australia_narrow,0.1905,1.5,13.0098,3.6932,2.1932,-12.5871,1.476
2016-11-01,Australia_narrow,0.1903,1.5,12.7766,3.6464,2.1464,8.3139,1.6926
2016-12-01,Australia_narrow,0.1901,1.5,12.5824,3.6072,2.1072,32.8778,1.9091
2017-01-01,Australia_narrow,0.1899,1.5,12.4569,3.5812,2.0812,62.1601,2.1257
2017-02-01,Australia_narrow,0.1898,1.5,12.3087,3.5514,2.0514,69.6879,2.0617
2017-03-01,Australia_narrow,0.1897,1.5,11.9497,3.4821,1.9821,78.5055,1.9977
2017-04-01,Australia_narrow,0.1896,1.5,11.6578,3.4259,1.9259,88.9754,1.9337
2017-05-01,Australia_narrow,0.1896,1.5,11.561,3.4072,1.9072,70.3824,1.8985
2017-06-01,Australia_narrow,0.1896,1.5,11.55,3.4051,1.9051,54.5975,1.8633
2017-07-01,Australia_narrow,0.1896,1.5,11.5289,3.4015,1.9015,41.0291,1.8282
2017-08-01,Australia_narrow,0.1897,1.5,11.5843,3.4127,1.9127,36.7888,1.8551
2017-09-01,Australia_narrow,0.1898,1.5,11.6667,3.4294,1.9294,32.9073,1.8821
2017-10-01,Australia_narrow,0.1899,1.5,11.7663,3.4493,1.9493,29.3409,1.9091
2017-11-01,Australia_narrow,0.19,1.5,11.8632,3.4688,1.9688,12.622,1.9062
2017-12-01,Australia_narrow,0.1901,1.5,11.9332,3.4831,1.9831,-0.3039,1.9033
2018-01-01,Australia_narrow,0.1902,1.5,12.0222,3.5014,2.0014,-10.5961,1.9005
2018-02-01,Australia_narrow,0.1903,1.5,11.9627,3.4914,1.9914,-4.9554,1.9595
2018-03-01,Australia_narrow,0.1905,1.5,11.9779,3.4959,1.9959,1.0467,2.0186
2018-04-01,Australia_narrow,0.1906,1.5,12.0016,3.5021,2.0021,7.4461,2.0777
2018-05-01,Australia_narrow,0.1908,1.5,11.9407,3.4922,1.9922,6.0559,2.0135
2018-06-01,Australia_narrow,0.191,1.5,11.8843,3.4833,1.9833,4.6132,1.9493
2018-07-01,Australia_narrow,0.1912,1.5,11.7926,3.4677,1.9677,3.1149,1.8851
2018-08-01,Australia_narrow,0.1914,1.5,11.8943,3.4892,1.9892,-0.1991,1.8514
2018-09-01,Australia_narrow,0.1916,1.5,12.0587,3.5227,2.0227,-3.4181,1.8178
2018-10-01,Australia_narrow,0.1918,1.5,12.1456,3.5413,2.0413,-6.546,1.7841
2018-11-01,Australia_narrow,0.1919,1.5,12.1954,3.5529,2.0529,-14.3084,1.6335
2018-12-01,Australia_narrow,0.1921,1.5,12.157,3.5475,2.0475,-22.0942,1.4828
2019-01-01,Australia_narrow,0.1923,1.5,12.0657,3.5313,2.0313,-29.9036,1.3321
2019-02-01,Australia_narrow,0.1923,1.5,12.0753,3.5335,2.0335,-27.581,1.4191
2019-03-01,Australia_narrow,0.1922,1.5,12.0498,3.5281,2.0281,-25.3944,1.506
2019-04-01,Australia_narrow,0.1921,1.5,12.1184,3.5399,2.0399,-23.3321,1.5929
2019-05-01,Australia_narrow,0.1919,1.5,12.1861,3.5506,2.0506,-19.5453,1.6199
2019-06-01,Australia_narrow,0.1916,1.2763,12.2119,3.3714,2.0951,-15.509,1.647
2019-07-01,Australia_narrow,0.1912,1.0217,12.2636,3.1711,2.1494,-11.1978,1.674
2019-08-01,Australia_narrow,0.1907,1.0,12.0531,3.108,2.108,-6.586,1.7295
2019-09-01,Australia_narrow,0.1902,1.0,11.8143,3.0571,2.0571,-1.8035,1.785
2019-10-01,Australia_narrow,0.1897,0.7609,11.6736,2.8312,2.0703,3.1595,1.8405
2019-11-01,Australia_narrow,0.1892,0.75,11.6718,2.8166,2.0666,19.8281,1.9573
2019-12-01,Australia_narrow,0.1887,0.75,11.7674,2.8292,2.0792,39.8837,2.0742
2020-01-01,Australia_narrow,0.1882,0.75,11.8857,2.8454,2.0954,64.4757,2.1911
2020-02-01,Australia_narrow,0.1877,0.75,11.9608,2.8537,2.1037,-5.2506,1.3446
2020-03-01,Australia_narrow,0.1872,0.4318,11.741,2.5484,2.1165,-66.9278,0.4981
2020-04-01,Australia_narrow,0.1867,0.25,11.5186,2.3536,2.1036,-121.8738,-0.3484
2020-05-01,Australia_narrow,0.1862,0.25,11.2978,2.3073,2.0573,-100.0746,-0.0012
2020-06-01,Australia_narrow,0.1858,0.25,11.1383,2.2728,2.0228,-78.9908,0.346
2020-07-01,Australia_narrow,0.1854,0.25,10.9682,2.2368,1.9868,-58.588,0.6932
2020-08-01,Australia_narrow,0.185,0.25,10.947,2.2286,1.9786,-56.6915,0.749
2020-09-01,Australia_narrow,0.1846,0.25,10.8958,2.2156,1.9656,-54.9129,0.8048
2020-10-01,Australia_narrow,0.1843,0.25,10.8361,2.2011,1.9511,-53.2415,0.8606
2020-11-01,Australia_narrow,0.184,0.1143,10.6852,2.0591,1.9448,-51.7018,0.9454
2020-12-01,Australia_narrow,0.1836,0.1,10.5666,2.0221,1.9221,-50.3355,1.0301
2021-01-01,Australia_narrow,0.1833,0.1,10.4841,2.0034,1.9034,-49.1149,1.1149
2021-02-01,Australia_narrow,0.183,0.1,10.4557,1.9951,1.8951,50.6313,2.0253
2021-03-01,Australia_narrow,0.1827,0.1,10.706,2.038,1.938,489.4291,2.9357
2021-04-01,Australia_narrow,0.1825,0.1,10.9816,2.0858,1.9858,-1203.8461,3.8462
2021-05-01,Australia_narrow,0.1823,0.1,11.2225,2.1275,2.0275,-295531.1263,3.5681
2021-06-01,Australia_narrow,0.1821,0.1,11.3424,2.1474,2.0474,850.8456,3.2901
2021-07-01,Australia_narrow,0.182,0.1,11.4792,2.1708,2.0708,334.4879,3.012
2021-08-01,Australia_narrow,0.1819,0.1,11.5759,2.1872,2.0872,323.7697,3.1741
2021-09-01,Australia_narrow,0.1818,0.1,11.6698,2.2036,2.1036,314.5372,3.3362
2021-10-01,Australia_narrow,0.1818,0.1,11.8,2.2265,2.1265,306.5016,3.4983
2021-11-01,Australia_narrow,0.1817,0.1,11.905,2.2449,2.1449,326.137,4.0285
2021-12-01,Australia_narrow,0.1816,0.1,11.9597,2.2541,2.1541,342.5405,4.5588
2022-01-01,Australia_narrow,0.1817,0.1,11.9612,2.2547,2.1547,356.4493,5.0891
2022-02-01,Australia_narrow,0.1818,0.1,11.8486,2.2357,2.1357,168.6454,5.441
2022-03-01,Australia_narrow,0.182,0.1,11.7396,2.2185,2.1185,97.3222,5.7929
2022-04-01,Australia_narrow,0.1823,0.1,11.5473,2.1871,2.0871,59.7643,6.1448
2022-05-01,Australia_narrow,0.1827,0.3273,11.2443,2.3222,1.995,82.7082,6.5192
2022-06-01,Australia_narrow,0.1832,0.731,10.9176,2.5976,1.8667,109.5299,6.8937
2022-07-01,Australia_narrow,0.1839,1.2786,10.5846,2.9895,1.711,141.3033,7.2682
2022-08-01,Australia_narrow,0.1846,1.8065,10.3331,3.3802,1.5737,134.9007,7.4561
2022-09-01,Australia_narrow,0.1853,2.2548,10.0659,3.7019,1.4472,129.1203,7.6439
2022-10-01,Australia_narrow,0.186,2.5762,9.6707,3.8956,1.3194,123.8755,7.8318
2022-11-01,Australia_narrow,0.1867,2.8386,9.3289,4.0503,1.2117,87.7056,7.5618
2022-12-01,Australia_narrow,0.1874,3.05,9.0177,4.1684,1.1184,59.9499,7.2918
2023-01-01,Australia_narrow,0.1881,3.1,8.8319,4.1784,1.0784,37.9782,7.0218
2023-02-01,Australia_narrow,0.1888,3.2875,8.7696,4.3226,1.0351,22.9595,6.6902
2023-03-01,Australia_narrow,0.1894,3.5457,8.6167,4.5062,0.9605,9.7654,6.3586
2023-04-01,Australia_narrow,0.19,3.6,8.4924,4.5293,0.9293,-1.9174,6.027
2023-05-01,Australia_narrow,0.1904,3.8283,8.5105,4.7199,0.8916,-10.8907,5.8093
2023-06-01,Australia_narrow,0.1908,4.0524,8.6291,4.9258,0.8734,-18.8892,5.5915
2023-07-01,Australia_narrow,0.1912,4.1,8.7431,4.9877,0.8877,-26.0635,5.3738
2023-08-01,Australia_narrow,0.1915,4.1,8.713,4.9833,0.8833,-33.8361,4.9332
2023-09-01,Australia_narrow,0.1917,4.1,8.7191,4.9853,0.8853,-41.2266,4.4926
2023-10-01,Australia_narrow,0.1919,4.1,8.7946,5.0007,0.9007,-48.2625,4.052
2023-11-01,Australia_narrow,0.192,4.2932,8.886,5.1752,0.882,-48.3198,3.908
2023-12-01,Australia_narrow,0.1922,4.35,8.9803,5.2401,0.8901,-48.3813,3.7639
2024-01-01,Australia_narrow,0.1925,4.35,8.9986,5.2447,0.8947,-48.4475,3.6199
2024-02-01,Australia_narrow,0.1927,4.35,8.992,5.2444,0.8944,-44.9226,3.6848
2024-03-01,Australia_narrow,0.1929,4.35,9.1104,5.2682,0.9182,-41.0301,3.7496
2024-04-01,Australia_narrow,0.1931,4.35,9.2022,5.2869,0.9369,-36.7093,3.8145
2024-05-01,Australia_narrow,0.1933,4.35,9.2881,5.3045,0.9545,-40.1094,3.4792
2024-06-01,Australia_narrow,0.1935,4.35,9.3484,5.3172,0.9672,-43.7743,3.1439
2024-07-01,Australia_narrow,0.1937,4.35,9.4216,5.3324,0.9824,-47.7361,2.8086
2024-08-01,Australia_narrow,0.1939,4.35,9.5145,5.3514,1.0014,-45.662,2.6806
2024-09-01,Australia_narrow,0.1941,4.35,9.6328,5.3753,1.0253,-43.181,2.5526
2024-10-01,Australia_narrow,0.1943,4.35,9.7854,5.4059,1.0559,-40.1605,2.4247
2024-11-01,Australia_narrow,0.1944,4.35,9.9068,5.4305,1.0805,-38.1509,2.417
2024-12-01,Australia_narrow,0.1946,4.35,9.9918,5.448,1.098,-35.9874,2.4094
2025-01-01,Australia_narrow,0.1948,4.35,9.9885,5.4483,1.0983,-33.6517,2.4017
2025-02-01,Australia_narrow,0.1949,4.25,10.0214,5.3748,1.1248,,
2025-03-01,Australia_narrow,0.195,4.1,9.9637,5.2433,1.1433,,
2025-04-01,Australia_narrow,0.195,4.1,9.8691,5.2251,1.1251,,
2025-05-01,Australia_narrow,0.195,4.0091,9.8465,5.1474,1.1383,,
2025-06-01,Australia_narrow,0.195,3.85,9.8204,5.014,1.164,,
2025-07-01,Australia_narrow,0.1949,3.85,9.8145,5.0124,1.1624,,
2025-08-01,Australia_narrow,0.1948,3.6952,9.8114,4.8864,1.1911,,
2025-09-01,Australia_narrow,0.1946,3.6,9.8028,4.8071,1.2071,,
2025-10-01,Australia_narrow,0.1945,3.6,9.8748,4.8202,1.2202,,
1990-12-01,Canada,0.1457,11.9638,10.8435,11.8006,-0.1633,5.3525,64.616
1991-01-01,Canada,0.1455,11.8409,10.5682,11.6558,-0.1851,8.129,67.0982
1991-02-01,Canada,0.1452,11.2344,10.5793,11.1393,-0.0951,7.8507,67.0982
1991-03-01,Canada,0.1449,10.0031,10.6474,10.0965,0.0934,7.9385,67.4985
1991-04-01,Canada,0.1446,9.6392,10.7878,9.8053,0.1661,8.2051,67.5786
1991-05-01,Canada,0.1442,9.2585,10.9315,9.4997,0.2412,8.1633,67.8988
1991-06-01,Canada,0.1437,8.7812,11.0896,9.113,0.3318,8.1321,68.1391
1991-07-01,Canada,0.1436,8.6733,11.2807,9.0476,0.3743,7.7215,68.1391
1991-08-01,Canada,0.1433,8.7292,11.4741,9.1225,0.3934,7.4495,68.1391
1991-09-01,Canada,0.1433,8.85,11.7501,9.2655,0.4155,7.1698,68.2191
1991-10-01,Canada,0.1434,8.9659,12.0786,9.4123,0.4464,6.3512,68.3793
1991-11-01,Canada,0.1437,8.0031,12.3335,8.6256,0.6225,5.8168,68.4593
1991-12-01,Canada,0.1443,7.5031,12.5479,8.2312,0.7281,5.5762,68.2191
1992-01-01,Canada,0.145,7.4631,12.8261,8.2409,0.7778,2.506,68.7796
1992-02-01,Canada,0.1459,7.2688,12.8035,8.0762,0.8074,2.506,68.7796
1992-03-01,Canada,0.1466,6.9659,12.7372,7.8119,0.846,2.0166,68.8597
1992-04-01,Canada,0.1473,6.7411,12.6374,7.6096,0.8686,1.8957,68.8597
1992-05-01,Canada,0.1481,6.3531,12.531,7.2678,0.9146,1.533,68.9397
1992-06-01,Canada,0.1488,6.0398,12.3432,6.978,0.9382,1.4101,69.0999
1992-07-01,Canada,0.1499,5.8438,12.1246,6.7853,0.9415,1.7626,69.3401
1992-08-01,Canada,0.1512,5.1594,12.0237,6.1974,1.0381,1.7626,69.3401
1992-09-01,Canada,0.1529,5.2232,11.9753,6.2557,1.0325,1.6432,69.3401
1992-10-01,Canada,0.1545,7.869,11.8817,8.489,0.6199,1.7564,69.5803
1992-11-01,Canada,0.1559,7.6031,11.7643,8.252,0.6489,1.9883,69.8205
1992-12-01,Canada,0.1571,7.6905,11.605,8.3055,0.615,2.3474,69.8205
1993-01-01,Canada,0.1583,6.7031,11.4005,7.4467,0.7436,1.979,70.1408
1993-02-01,Canada,0.1595,6.0812,11.2194,6.9008,0.8195,2.0955,70.2209
1993-03-01,Canada,0.1605,5.1413,10.9863,6.0794,0.9381,1.9767,70.2209
1993-04-01,Canada,0.1613,4.6131,10.7004,5.5953,0.9822,1.8605,70.1408
1993-05-01,Canada,0.162,4.5812,10.4249,5.5282,0.947,1.7422,70.1408
1993-06-01,Canada,0.1631,4.4659,10.1778,5.3975,0.9316,1.5064,70.1408
1993-07-01,Canada,0.1647,4.2083,9.9596,5.1556,0.9473,1.0393,70.0607
1993-08-01,Canada,0.1669,4.2232,9.6978,5.1369,0.9136,0.9238,69.9806
1993-09-01,Canada,0.1693,4.3512,9.4585,5.216,0.8649,1.1547,70.1408
1993-10-01,Canada,0.1719,4.5688,9.2677,5.3764,0.8076,0.6904,70.0607
1993-11-01,Canada,0.1745,4.1696,9.0768,5.026,0.8563,1.2615,70.7013
1993-12-01,Canada,0.1772,4.1935,8.8976,5.027,0.8335,1.0321,70.5411
1994-01-01,Canada,0.1802,3.9781,8.6729,4.8239,0.8458,0.4566,70.4611
1994-02-01,Canada,0.1834,3.65,8.4259,4.5259,0.8759,-1.5964,69.0999
1994-03-01,Canada,0.1867,3.9511,8.1687,4.7386,0.7875,-1.5964,69.0999
1994-04-01,Canada,0.1896,5.575,7.943,6.024,0.449,-1.484,69.0999
1994-05-01,Canada,0.1921,5.7679,7.7273,6.1443,0.3764,-2.1689,68.6195
1994-06-01,Canada,0.1944,5.7159,7.4936,6.0614,0.3455,-1.5982,69.0198
1994-07-01,Canada,0.1964,5.6125,7.1906,5.9225,0.31,-1.4857,69.0198
1994-08-01,Canada,0.1983,5.2784,6.8568,5.5914,0.313,-1.2586,69.0999
1994-09-01,Canada,0.1997,5.1161,6.522,5.3968,0.2807,-1.5982,69.0198
1994-10-01,Canada,0.2004,4.975,6.33,5.2466,0.2716,-1.7143,68.8597
1994-11-01,Canada,0.2005,5.119,6.3459,5.3651,0.246,-1.9253,69.3401
1994-12-01,Canada,0.2004,5.5219,6.3751,5.6929,0.171,-1.7026,69.3401
1995-01-01,Canada,0.2004,6.5982,6.4365,6.5658,-0.0324,-1.1364,69.6604
1995-02-01,Canada,0.2003,7.85,6.5829,7.5962,-0.2538,1.2746,69.9806
1995-03-01,Canada,0.2002,8.125,6.7933,7.8584,-0.2666,1.2746,69.9806
1995-04-01,Canada,0.2,8.0642,7.0856,7.8684,-0.1958,1.9699,70.4611
1995-05-01,Canada,0.1999,7.7436,7.4369,7.6823,-0.0613,2.9172,70.6212
1995-06-01,Canada,0.1999,7.3532,7.7972,7.4419,0.0888,2.2042,70.5411
1995-07-01,Canada,0.2002,6.765,8.2578,7.0638,0.2988,2.4362,70.7013
1995-08-01,Canada,0.2007,6.4609,8.7886,6.928,0.4671,1.9699,70.4611
1995-09-01,Canada,0.2012,6.222,9.2969,6.8408,0.6188,2.3202,70.6212
1995-10-01,Canada,0.2017,6.2448,9.6122,6.924,0.6792,2.4419,70.5411
1995-11-01,Canada,0.2021,6.0014,9.8239,6.7739,0.7725,1.963,70.7013
1995-12-01,Canada,0.2024,5.9558,10.0484,6.7842,0.8284,1.963,70.7013
1996-01-01,Canada,0.2029,5.6741,10.2524,6.6031,0.929,1.4943,70.7013
1996-02-01,Canada,0.2036,5.269,10.4862,6.3313,1.0623,1.4874,71.0216
1996-03-01,Canada,0.2044,5.1267,10.7275,6.2718,1.1451,1.7162,71.1817
1996-04-01,Canada,0.2053,4.9057,10.8736,6.131,1.2253,1.4773,71.502
1996-05-01,Canada,0.2062,4.785,10.9285,6.0518,1.2668,1.5873,71.7422
1996-06-01,Canada,0.2072,4.7775,10.9907,6.0651,1.2876,1.7026,71.7422
1996-07-01,Canada,0.2085,4.6795,10.9159,5.9795,1.3,1.359,71.6621
1996-08-01,Canada,0.2098,4.2738,10.7889,5.6409,1.3671,1.7045,71.6621
1996-09-01,Canada,0.2111,4.053,10.6527,5.4463,1.3933,1.4739,71.6621
1996-10-01,Canada,0.213,3.62,10.6049,5.1079,1.4879,1.9296,71.9023
1996-11-01,Canada,0.2155,3.1055,10.587,4.7179,1.6124,2.1518,72.2226
1996-12-01,Canada,0.2187,3.042,10.5345,4.681,1.639,1.6988,71.9023
1997-01-01,Canada,0.2224,3.0155,10.6083,4.7039,1.6885,1.9253,72.0625
1997-02-01,Canada,0.2264,3.01,10.7415,4.7604,1.7504,1.8038,72.3027
1997-03-01,Canada,0.2308,3.002,10.8341,4.8096,1.8076,1.5748,72.3027
